Address,Latitude,Longitude,Status,Application Date,Completion Date,Description,Current Use
4640 FINCH AVE E,43.806538,-79.2739509,Demolition,2011-06-10,2015-10-06,demolition of six (6) PORTABLE CLASSROOMS at Francis Libermann Catholic Secondary Scool,Elementary School - Portable Classrooms
116 FRONTENAC AVE,43.71703433,-79.42854035,Demolition,2011-06-15,2015-09-11,Demolish dwelling,
812 LANSDOWNE AVE,43.6652415,-79.4460508,Demolition,2011-07-12,2015-08-28,permit to demolish existing one storey parking garage located on 812 Lansdowne ave and attached to 800 Lansdowne Ave. ,Parking Garage
98 DONLANDS AVE,43.68334856,-79.33869994,Demolition,2011-07-12,2015-07-13,demolish semi-detached house due to fire. see: bld appl'n for new house#11-236743,Semi-Detached House To Be Demolished
63 CLAYBROOKE ST,43.69558641,-79.47169857,Demolition,2011-07-14,2015-02-13,demolish existing one storey dwelling,
1994-2000 YONGE ST,43.73868012,-79.40220919,Demolition,2011-07-25,2015-09-16,"Proposal to demolish existing two storey mixed use building (commercial ground floor, residential second floor).",Mixed Use Building
2008 YONGE ST,43.700746,-79.397251,Demolition,2011-07-25,2015-09-16,Proposal to demolish existing sales office.,Sales Office
101 DEAN PARK RD,43.80262675,-79.17417991,Demolition,2011-07-27,2015-08-19,Demolish 1 portable,Elementary School
3221 KINGSTON RD,43.7302202,-79.2261225,Demolition,2011-11-29,2015-08-26,Demolish all buildings on site,Gas Station
367 QUEEN ST W,43.64936076,-79.393188,Demolition,2011-12-23,2015-10-19,This is for the demolition of this three(3) storey building while maintaining the facade at this property.,Retail
261 QUEENS QUAY   E,43.64607327,-79.36257647,Demolition,2011-12-29,2015-07-07,Proposal to demolish Marine Terminal and Yatch Club. Convenience address is 263 queens Quay E.,Marine
4180 DUNDAS ST W,43.661109,-79.51007275,Demolition,2012-01-18,2015-01-26,"Demolition of existing mixed commercial use, 3 storey building with partial basement.",Commercial
479 DANFORTH AVE,43.6778234,-79.3498661,Demolition,2012-01-30,2015-06-26,Proposal to demolish mixed use building.,Mixed Use - E/D
495 EASTERN AVE,43.657782,-79.341155,Demolition,2012-02-15,2015-07-29,Proposal to demolish existing 1 storey vacant auto repair garage.,Auto Repair Shop
499 EASTERN AVE,43.65785652,-79.34081012,Demolition,2012-02-15,2015-07-09,Proposal to demolish existing 1 storey vacant auto repair garage.,Auto Repair Shop
2243 DANFORTH AVE,43.68644777,-79.3087656,Demolition,2012-03-02,2015-06-26,"Demolition of this two storey mixed use office and dwelling.
No replacement is proposed.",Mixed Use - Office/Res
2212 DANFORTH AVE,43.68652424,-79.30965068,Demolition,2012-03-07,2015-06-26,Proposal to demolish existing one storey car wash/warehouse storage building (515m2) to prepare for the future construction for a new two storey automotive sales and hire garage.,Car Wash And Warehouse Storage
121 BRIMWOOD BLVD,43.8126782,-79.2744724,Demolition,2012-05-30,2015-10-06,Demolish 1 portable,Elementary School
21 DUNDAS SQ,43.65585457,-79.37986357,Demolition,2012-06-08,2015-09-21,This is for the demolition of the existing 7 storey building to make room for a new development. Refer to folder no 12 111476 BLD.,Multi Use/Non Res - 7 Storey
2819 ST CLAIR AVE E,43.7070825,-79.3046114,Demolition,2012-07-11,2015-06-23,Proposal to demolish existing 1 storey auto repair garage and gas station.  See 07 289604 STE for new proposal.,Gas Station/Repair Garage
426 ADELAIDE ST W,43.646474,-79.397355,Demolition,2012-08-27,2015-06-17,Proposal to demolish existing 2 sty warehouse.,Warehous
