Address,Latitude,Longitude,Status,Application Date,Completion Date,Description,Current Use
125 PARKWAY FOREST DR,43.775347,-79.34240875,Demolition,2013-07-11,2016-06-29,Demolish the existing one storey pool storage building and outdoor swimming pool (rear of existing residential building) only,"Residential Bldg, Pool Storage Building & Outdoor Swimming Pool"
2116 EGLINTON AVE W,43.6941226,-79.4578896,Demolition,2013-07-31,2016-12-19,Demolish one storey vacant commercial building (370m2),Vacant Commercial Building
424 ADELAIDE ST E,43.652529,-79.367271,Demolition,2013-08-09,2016-01-22,Proposal to demo existing 2 sty film studio/office.,Film Studio/Office
103 BATHURST ST,43.6472773,-79.4040095,Demolition,2013-08-09,2016-12-14,Proposal to demolish existing 3 storey building (1856.4m2). See related 13-206962 NB.,Multiple Unit
48 HAVELOCK ST,43.65468436,-79.43023798,Demolition,2013-09-12,2016-12-08,Proposal to demolish existing 2 storey apartment building (1476.46 m2) for new townhouse development. ,Apartment Building
10 HAWTHORNE RD,43.69172534,-79.555479,Demolition,2013-09-16,2016-12-21,Demolition of existing bungalow with attached garage.,Bungalow
3401 DUFFERIN ST,43.7256596,-79.45222919,Demolition,2013-09-17,2016-06-29,Demolish three storey parking structure,Parking Garage
139 MAVETY ST,43.662885,-79.46452612,Demolition,2013-09-20,2016-12-02,Proposed demolition of an existing (3) car garage.  Concrete slab to remain for the use of a parking pad.,Triplex
1100 BRIAR HILL AVE,43.7024807,-79.4518982,Demolition,2013-09-24,2016-01-20,"Demolition of Briar Hill Junior Public School 2,906m2.",Briar Hill Junior Public School
1006 BLOOR ST W,43.6610267,-79.4306333,Demolition,2013-09-26,2016-01-29,To complete interior demolitions to the existing vacant movie theatre (440 m2).,Vacant Theatre
18 SABINE RD,43.66621107,-79.56218961,Demolition,2013-10-09,2016-05-18,Demolish existing single family dwelling with attached garage,Bungalow
15 NORTH QUEEN ST,43.6250265,-79.5287276,Demolition,2013-10-22,2016-12-06,Demolish existing warehouse building. No other structures on site per applicant.,Industrial Warehouse
5541 DUNDAS ST W,43.63071633,-79.54762227,Demolition,2013-11-06,2016-12-19,To demolish the existing one storey industrial building that was a former vehicle repair shop (MIdas),Industrial (Vehicle Repair Shop)
35-53 VALLEY WOODS RD,43.75403538,-79.33264801,Demolition,2014-01-07,2016-06-30,"Proposed demolition of 10 existing townhouses and 30 car garage
Refer to lead permit no.14-101548-DEM-00-DM (35 Valley Woods Road).",Townhouses
35-53 VALLEY WOODS RD,43.75403538,-79.33264801,Demolition,2014-01-07,2016-06-30,"Proposed demolition of 4 existing townhouses
Refer to lead permit no.14-101548-DEM-00-DM (35 Valley Woods Road).",Townhouses
35-53 VALLEY WOODS RD,43.75403538,-79.33264801,Demolition,2014-01-07,2016-06-30,"Proposed demolition of 8 existing townhouses
Refer to lead permit no.14-101548-DEM-00-DM (35 Valley Woods Road).",Townhouses
35-53 VALLEY WOODS RD,43.75403538,-79.33264801,Demolition,2014-01-07,2016-06-30,"Proposed demolition of 8 existing townhouses
Refer to lead permit no.14-101548-DEM-00-DM (35 Valley Woods Road).",Townhouses
35-53 VALLEY WOODS RD,43.75403538,-79.33264801,Demolition,2014-01-07,2016-06-30,"Proposed demolition of 12 existing townhouses
Refer to lead permit no.14-101548-DEM-00-DM (35 Valley Woods Road).",Townhouses
35-53 VALLEY WOODS RD,43.75403538,-79.33264801,Demolition,2014-01-07,2016-07-04,Proposed demolition of 12 existing townhouses and 36 car garage,Townhouses
83 MINERVA AVE,43.7216075,-79.2463392,Demolition,2014-01-21,2016-07-12,demolish existing bungalow,House
10 CANVARCO RD,43.7038968,-79.3606507,Demolition,2014-03-19,2016-05-20,"Lot was severed, demolition of an existing one storey frame building attached to the building on lot two.  see application 14 130569",Retail
288 JANE ST,43.6561803,-79.4874666,Demolition,2014-03-19,2016-02-03,Proposal to demolish existing one storey auto repair shop.,Vehicle Repair Shop
77 DUNEDIN DR,43.6569757,-79.5111209,Demolition,2014-06-16,2016-11-18,Demolition of existing two storey dwelling.,Residential
12 LAMBETH CRES,43.6623849,-79.5226099,Demolition,2014-06-24,2016-10-05,Proposal to demolish existing two storey dwelling.,Residential
520 MC ROBERTS AVE,43.6623849,-79.5226099,Demolition,2014-06-24,2016-12-28,Proposal to demolish existing two storey dwelling.,Residential
79 LAUREL AVE,43.64250301,-79.55322619,Demolition,2014-07-09,2016-12-30,demolish existing house,Jhouse
3 GADE DR,43.7292295,-79.489386,Demolition,2014-07-14,2016-02-25,Demolition of two portable classrooms at St. Raphael Catholic School,Portable Classroom
176 MARTIN GROVE RD,43.65155672,-79.55038326,Demolition,2014-07-21,2016-10-26,Demolition of existing single storey dwelling.,Residential
74 ATHOL AVE,43.62814268,-79.51053252,Demolition,2014-07-24,2016-12-16,"Proposal to demolish existing single storey dwelling.
See realted BLD 14-196289",Residential
2388 DANFORTH AVE,43.6874344,-79.30579335,Demolition,2014-07-31,2016-06-01,To demolish the existing two-storey retail building (2362 Danforth Ave) and the existing service garage (2388 Danforth Ave).,Multi Use Non Res
270 POPLAR PLAINS RD,43.68590143,-79.4039,Demolition,2014-07-31,2016-01-25,Proposal to demolish existing converted house and build new 12 storey apartment building. Convenence address is 213 St Clair Ave W,Converted House
215 ST CLAIR AVE W,43.6859964,-79.4041322,Demolition,2014-07-31,2016-01-25,Proposal to demolish existing converted house and build new 13 storey apartment building. This demo permit also includes 217 St Clair Ave W which is a convienence address.,Converted House
219 ST CLAIR AVE W,43.6859512,-79.4043666,Demolition,2014-07-31,2016-01-25,Proposal to demolish existing commercial building and build new 13 storey apartment building. ,Converted House
223 ST CLAIR AVE W,43.685906,-79.404601,Demolition,2014-07-31,2016-01-25,Proposal to demolish existing converted house and build new 13 storey apartment building. ,Office
441 JANE ST,43.659866,-79.4886101,Demolition,2014-08-08,2016-04-07,Demolition of existing automotive service shop for the purpose of in-stu remediation. Remove of all storage tanks below grade will be done under the supervision of environmental.,Automotive Service Shop
42 ORRELL AVE,43.6558211,-79.5333869,Demolition,2014-08-12,2016-09-19,Proposal to demolish existing 1.5 storey dwelling.,Residential
65 BRULE GDNS,43.64583582,-79.48778218,Demolition,2014-08-21,2016-11-28,Proposal to demolish existing two storey dwelling.,Residential
9 NORCREST DR,43.71825405,-79.48903,Demolition,2014-08-28,2016-10-26,Proposal to demolish existing single storey dwelling.,Residential
49 LOYALIST RD,43.6534323,-79.5212165,Demolition,2014-09-04,2016-12-30,Proposal to demolish existing two storey dwelling.,Residential
2800 KEELE ST,43.728646,-79.482723,Demolition,2014-09-12,2016-02-24,Demolish an existing one storey office building (post office),Office
161 EGLINTON AVE E,43.7077986,-79.3923842,Demolition,2014-10-09,2016-05-26,Proposal to demolish existing 8 storey office building.,Office
7 COLONY RD,43.74582634,-79.29778462,Demolition,2014-10-10,2016-04-27,DEMOLISH EXISTING HOUSE,House
53 ONTARIO ST,43.652996,-79.36619731,Demolition,2014-10-16,2016-02-09,To demolish the existing four storey multi use buidling.,Multi-Use
94 CUMBERLAND ST,43.670436,-79.390814,Demolition,2014-10-22,2016-12-08,Proposal to demolish a 9 storey office building.,Office
84 YORKVILLE AVE,43.67115731,-79.39156313,Demolition,2014-10-29,2016-01-05,"To demolish the existing 3-storey mixed-use building which was damaged by fire.

See BR 14107933 ",Retail
157 FLORENCE AVE,43.7564566,-79.4175184,Demolition,2014-11-28,2016-06-13,demolish existing place of worship building - 1 storey (438sm) with 1 basement level.,Church
1277 YORK MILLS RD,43.7603737,-79.3257626,Demolition,2014-12-01,2016-06-13,To demolish existing Shoppers Drug Mart to rebuild a new Shoppers Drug Mart #14-258781,Commercial/Retail
1009 COXWELL AVE,43.6968506,-79.3288469,Demolition,2014-12-19,2016-10-24,Proposal to demolish existing one storey retail store ,Retail
4246 BATHURST ST,43.7505973,-79.4374747,Demolition,2015-01-16,2016-06-13,Demolition of a one storey medical office buidling.,Demolition Medical Building
71 REXDALE BLVD,43.7126516,-79.5616721,Demolition,2015-01-19,2016-03-22,Permit to demolish exisiting Office portion of Warehouse/Office building with other related HVAC & Plumbing removal throughout.,Office/Warehouse
121 CITY VIEW DR,43.7025188,-79.5882122,Demolition,2015-01-19,2016-08-29,Permit for partial demolition to back end of existing 1-Storey Industrial Warehouse (for future construction).,Crematorium/Funeral Home
250 DANFORTH RD,43.701219,-79.2721459,Demolition,2015-01-28,2016-09-09,Demolish existing one storey commercial building,Commercial
1717 WILSON AVE,43.7189123,-79.5170078,Demolition,2015-02-04,2016-09-06,Proposal to demolish existing restaurant building.,Restaurant
191 GUILDWOOD PKWY,43.7481599,-79.195705,Demolition,2015-02-18,2016-04-29,"partial demolition of banquet hall, east & west wings of former ""Guild Inn"" ",Banquet Hall
31 GLENEAGLE CRES,43.78397763,-79.34483281,Demolition,2015-02-26,2016-06-13,demolish existing house,House
355 CHURCH ST,43.6728646,-79.3874277,Demolition,2015-02-27,2016-01-19,Proposal to demolish existing 2 storey office building.  See 14 257790 BLD for new building.,Office
45 WINSLOW ST,43.62669129,-79.49793912,Demolition,2015-03-05,2016-04-11,demolish existing house,House
541 WOBURN AVE,43.72427319,-79.42163811,Demolition,2015-03-17,2016-05-03,DEMOLISH EXISTING HOUSE,House
24 EDGECOMBE AVE,43.71980038,-79.41637074,Demolition,2015-03-30,2016-06-13,demolish existing house,House
1815 EGLINTON AVE W,43.6957525,-79.4493312,Demolition,2015-04-01,2016-12-19,Demolish existing Esso gas station canopy and convenience store for future Eglinton Crosstown LRT - Dufferin Station,Gas Station & Convienience Store
78 ELMWOOD AVE,43.76760123,-79.40788995,Demolition,2015-04-13,2016-04-20,demolish existing 2 storey house,House
211 SPRINGDALE BLVD,43.68792496,-79.32211761,Demolition,2015-04-15,2016-10-04,demolish existing house,House
105 HOLBORNE AVE,43.69417977,-79.32022091,Demolition,2015-04-20,2016-10-24,demolition existing house,House
21 HAVENRIDGE DR,43.7001894,-79.5437143,Demolition,2015-04-20,2016-07-15,demolish existing 2 storey house,House
150 PEARL ST,43.6479404,-79.38752175,Demolition,2015-04-29,2016-01-22,Proposal to demolish two storey mixed use non residential building,Mixed Use Non Res
504 BROADWAY AVE,43.71540723,-79.37034605,Demolition,2015-05-14,2016-01-20,Demolish existing one storey brick dwelling and all accessory structures,Detached Dwelling
73 NEILSON AVE,43.72154718,-79.23288603,Demolition,2015-05-29,2016-10-31,demolish existing 1.5 storey house,House
65 CEDARVIEW DR,43.7903512,-79.1552795,Demolition,2015-05-29,2016-05-25,demolish existing bungalow,House
76 KIMBARK BLVD,43.71933071,-79.41792216,Demolition,2015-06-08,2016-02-25,demolish existing 2 store house,House
264 LEE AVE,43.67549523,-79.3001846,Demolition,2015-06-10,2016-10-14,Demolish the existing dwelling on the lands to facilitate the construction of the dwellings under related applications 15 171101 and 15 171136. ,Detached Dwelling 
330 BETTY ANN DR,43.764782,-79.43771913,Demolition,2015-06-16,2016-02-23,demolish existing 1.5 storey house,House
159 CLAREMONT ST,43.65052782,-79.41120732,Demolition,2015-06-16,2016-04-13,Proposal to demolish existing place of worship and construct a new 3 storey detached single family dwelling with 2nd and 3rd floor decks. Scope of work includes demolishing more than 50% of the existing walls.,Place Of Worship
13 BARRYDALE CRES,43.74656974,-79.36799442,Demolition,2015-06-25,2016-06-10,demolition of existing dwelling to facilaite constrcution of a new 2 storey SFD-detached dwelling.  under related folder 15-176828.,Detached Dwelling
79 STAYNER AVE,43.70446346,-79.4471094,Demolition,2015-07-06,2016-02-23,demolish existing bungalow,House
67 WEYBOURNE CRES,43.72477751,-79.39898921,Demolition,2015-07-07,2016-06-10,demolish existing house,House
55 DORSET RD,43.72067511,-79.23120769,Demolition,2015-07-09,2016-01-20,demolish existing bungalow,House
61 MUTUAL ST,43.6556336,-79.37503768,Demolition,2015-07-14,2016-01-06,Proposal to demolish existing 3 storey mixed use building due to unsafe condition.  See Unsafe Work Order 14 240627.,Commerical & 2 Dwelling Units
46 KILLDEER CRES,43.71810969,-79.36344298,Demolition,2015-07-16,2016-06-10,demolish existing 2 storey house,House
404 HORNER AVE,43.60416517,-79.53478107,Demolition,2015-07-16,2016-02-23,demolish existing house,House
227 EPSOM DOWNS DR,43.72313598,-79.50139627,Demolition,2015-07-21,2016-06-10,demolish existing house,House
96 KINGSDALE AVE,43.77140649,-79.40764155,Demolition,2015-07-31,2016-06-10,demolish existing house,House
62 ABITIBI AVE,43.79735657,-79.41521902,Demolition,2015-07-31,2016-01-06,demolish existing house,House
376 ELM RD,43.7327347,-79.41618343,Demolition,2015-08-06,2016-06-10,Demolish existing 2-storey dwelling and construct new 2-storey dwelling,House
4 KENNY AVE,43.6912997,-79.2731423,Demolition,2015-08-21,2016-12-13,demolish existing house,House
420 BATHURST ST,43.65445778,-79.4070808,Demolition,2015-08-21,2016-11-17,Proposal to demolish a two storey multiple unit building,Multiple Unit Building - Non Res
430 BATHURST ST,43.65474324,-79.40719746,Demolition,2015-08-24,2016-11-17,Proposal to demolish one storey non residential building,Auto Repair/Used Car Sales
444-446 BATHURST ST,43.65514289,-79.40736078,Demolition,2015-08-24,2016-11-17,Proposal to demolish a three storey mixed use building containing 1 dwelling unit.,Mixed Use - Res W Non Res
113 TWENTY SECOND ST,43.60112273,-79.52283125,Demolition,2015-08-24,2016-01-26,demolish existing bungalow,House
6 BETHNAL AVE,43.63629049,-79.49974451,Demolition,2015-08-26,2016-01-19,Proposal to demolish existing 1-storey house and build new 2-storey house.,1-Storey House
144 CASTLEWOOD RD,43.708038,-79.416726,Demolition,2015-08-27,2016-06-10,Proposal to demolish existing house and build new house.,1-Storey House
89 FOREST HILL RD,43.69006699,-79.40438298,Demolition,2015-09-02,2016-12-16,demolish existing house ,House
26 OLD FOREST HILL RD,43.6955427,-79.411158,Demolition,2015-09-15,2016-01-20,Proposal to demolish existing house and build new house.,2-Storey House
52 WALKER RD,43.75476004,-79.41772793,Demolition,2015-09-15,2016-06-10,demolish existing house,House
1723 WILSON AVE,43.71881068,-79.51749485,Demolition,2015-09-16,2016-09-06,Permit to demolish existing restaurtant.,Restaurant
873 KINGSTON RD,43.6801451,-79.2899844,Demolition,2015-09-29,2016-01-12,Proposal to demolish one storey commercial building,Funeral Home
907 KINGSTON RD,43.6801553,-79.2898492,Demolition,2015-09-29,2016-01-12,Proposal to demolish one storey community hall,Community Hall
96 SHERWOOD AVE,43.7422657,-79.2937402,Demolition,2015-10-10,2016-06-10,demolish 2 storey house ,House
250 DAWLISH AVE,43.72338246,-79.38599268,Demolition,2015-10-10,2016-06-10,demolish existing 2 storey house,House
99 BIRMINGHAM ST,43.6029204,-79.5071854,Demolition,2015-10-21,2016-09-13,Proposal to demolish existing fire damaged industrial building.,Idustrial Building
33 KINGSWAY CRES,43.6558512,-79.5047355,Demolition,2015-11-03,2016-08-18,Proposal to demolish existing house and build a new house.,House
117 LEDBURY ST,43.7250134,-79.4236166,Demolition,2015-11-09,2016-01-25,Demolish the existing two storey dwelling semi-detached dwelling,Semi-Detached
119 PLAYFAIR AVE,43.70863101,-79.46344693,Demolition,2015-11-13,2016-02-03,demolish existing house,House
5 HEMFORD CRES,43.74037288,-79.35152602,Demolition,2015-11-25,2016-03-17,demolish existing house,House
35 LATIMER AVE,43.70388045,-79.41606891,Demolition,2015-12-07,2016-04-17,demolish existing house,House
69 RISEBROUGH AVE,43.79047378,-79.39582976,Demolition,2015-12-31,2016-04-26,demolish existing 2 storey house,House
1580 EGLINTON AVE W,43.6974327,-79.4427784,Demolition,2016-01-19,2016-11-03,Demolish existing mixed use building for future Main Entrance of the Eglinton LRT Line at Oakwood Station,Mixed Use With Residential And Non-Residential
116 CASTLEWOOD RD,43.70674229,-79.41594489,Demolition,2016-01-25,2016-04-18,demolish existing house,House
1024 AVENUE RD,43.70472,-79.4087611,Demolition,2016-02-04,2016-05-26,Demolish of existing buidling for the future Main Entrance to the Eglinton LRT Line,Retail
278 EGLINTON AVE W,43.70497885,-79.40733113,Demolition,2016-02-04,2016-05-15,Demolition of existing building for the future Secondary Entrance to the Eglinton LRT Line,Retail
274 EGLINTON AVE W,43.70500195,-79.40722258,Demolition,2016-02-04,2016-06-15,Demolition of existing building for the future Secondary Entrance to the Eglinton LRT Line,Retail
250-256 LAIRD DR,43.7127668,-79.3646609,Demolition,2016-02-05,2016-06-29,Demolition of existing building for the future Main Entrance to the Eglinton LRT Line,Commercial
50 ST JOSEPH ST,43.665686,-79.387925,Demolition,2016-02-11,2016-07-11,Proposal to demolish a 1 storey sales centre ,Sales Office
28 ALEXIS BLVD,43.75409238,-79.44052337,Demolition,2016-02-25,2016-06-09,demolish existing house,House
9 LEACROFT CRES,43.7372305,-79.3600425,Demolition,2016-03-08,2016-09-22,Demolish existing one storey dwelling,House
0 FALLINGBROOK RD,43.6822552,-79.2792027,Demolition,2016-03-10,2016-08-19,demolish hydro vault building and re-sod area,Hyrdo Sub Station
171 AVONDALE AVE,43.75923335,-79.40089433,Demolition,2016-03-18,2016-11-02,"Complete demolition of 2 Storey Avondale Elementary School including associated site amenities and selective tree removals.
Demolition Permit Application is being made in conjunction with Demolition Application for building on adjacent site 15 Oakburn Crescent",Elementary School
92 COLLEGE ST,43.66062895,-79.38808761,Demolition,2016-03-24,2016-10-25,Application to demolish the existing 2 1/2 storey Gynaecology office building.,Office
207 ARMOUR BLVD,43.7442656,-79.4328239,Demolition,2016-04-10,2016-06-09,demolish existing house,House
114 ALMORE AVE,43.7467287,-79.44489635,Demolition,2016-04-11,2016-06-09,demolish existing house,House
36 HIGHLAND HILL,43.719823,-79.4504817,Demolition,2016-04-11,2016-12-21,"demolish existing house, existing detached garage to remain",House
183 COLLEGE ST,43.6588476,-79.3943135,Demolition,2016-04-20,2016-10-06,Demolition Approval is being requested for the removal of the residentail use in the existing building resulting from the alterations being undertaken in related building permit 16-139833.    ,Mixed Use Bld
1919 QUEEN ST E,43.66895646,-79.30418864,Demolition,2016-07-06,2016-09-12,"Proposal to removal all residential uses located on the 2nd floor (2 dwelling units) from the existing
mixed-use building. Change of use to Day Care/Nursery.",Mixed-Use
22 BALDING CRT,43.75397593,-79.39435844,Demolition,2016-07-12,2016-11-10,demolish existing house,House
75 WILTSHIRE AVE,43.67000928,-79.45159848,Demolition,2016-07-13,2016-10-28,Proposed demolition of masonry building.,Oil Building At Transformer Station
35 MCLACHLAN DR,43.6932721,-79.5882211,Demolition,2016-07-21,2016-09-30,Proposed demolition of storage standalone accessory structure.,Industrial
406 BATHURST ST,43.65408463,-79.40692855,Demolition,2016-08-22,2016-11-17,Proposal to demolish existing 2 storey multiple use building,Multiple Unit Building
99 GARFIELD AVE,43.68836662,-79.37858019,Demolition,2000-03-22,2017-10-04,"DEMOLISH A DETACHED HOUSE UNDER SECTION 146-16 OF THE MUNICIPAL CODE.  RELATED TO A REPLACEMENT STRUCTURE.  SEE 00 128949    EDC
/lm
",
146 GOUGH AVE,43.68115501,-79.34714444,Demolition,2000-04-13,2017-01-06,Demolish detached house under under Section 146-16 of the Municipal Code.  Related to a replacement structure.  See BPA: 141457.,
104 GLENROSE AVE,43.6895543,-79.3827907,Demolition,2000-06-20,2017-09-27,Demolish remnants of garage at the rear.,
19 SOUTH DR,43.6776394,-79.38271669,Demolition,2002-02-26,2017-08-01,demolish 2 1/2 storey detached house and detached garage under Chapter 146 of the Municipal Code related to replacement structure bp 02-112312,
20 VANEVERY ST,43.61171652,-79.49713435,Demolition,2004-03-03,2017-01-01,Demolition of an exisitng home.,
48 HELENA AVE,43.68062841,-79.41989781,Demolition,2004-06-01,2017-02-13,Demolition of 3 storey SFD,
62 GUTHRIE AVE,43.63199537,-79.48894173,Demolition,2004-06-21,2017-10-24,Demolition of Ex. SFD,
98 GARFIELD AVE,43.6885305,-79.37867118,Demolition,2004-12-20,2017-01-16,Demolish existing detached house under section with section 146 of the municipal code.,
99 SCOLLARD ST,43.67179815,-79.39169325,Demolition,2005-02-04,2017-08-01,Domilish existing 2 storey dwelling.,
34 WESTBROOK AVE,43.69324442,-79.30706102,Demolition,2005-06-21,2017-01-23,Demolish existing SFD detached house; in connection with permit #05-147670 BLD.,
300 VALERMO DR,43.6078337,-79.5391339,Demolition,2005-07-12,2017-10-20,demolish three existing school portables,School
200 MOORE AVE,43.69448374,-79.38131778,Demolition,2005-07-25,2017-01-18,"Demolsih existng semi-detached triplex
For BLD Permit, see Lead file 05 163969",Residential
204 MOORE AVE,43.69456401,-79.38121453,Demolition,2005-07-25,2017-01-18,"Demolsih existng semi-detached triplex
For BLD Permit, see Lead file 05 163969",Residential
21 A OAKMOUNT RD,43.65514517,-79.46261182,Demolition,2005-08-10,2017-09-01,Demolition of an existing garage.,Residential
6 LLOYD AVE,43.6716391,-79.4653859,Demolition,2007-05-16,2017-07-27,"Demolition of the rear 4,258m2 portion of a warehouse at the former **Benjamin Moore** paint facility
May 11/07-revised drawings submitted to demolish balance of (1,913 m2) warehouse",Warehouse
6 LLOYD AVE,43.6716391,-79.4653859,Demolition,2005-08-25,2017-07-27,"Demolition of the rear 4,258m2 portion of a warehouse at the former **Benjamin Moore** paint facility",Warehouse
611 KING ST E,43.6569952,-79.3558092,Demolition,2005-12-22,2017-02-03,Proposal to demolish existing industrial building.,Industrial
45 ST LAWRENCE ST,43.6560118,-79.356259,Demolition,2005-12-22,2017-01-23,Proposal to demolish 2 silos,Industrial
1278 THE QUEENSWAY,43.6211191,-79.5264659,Demolition,2006-03-30,2017-03-23,Demolition of a one-storey bank building.,Bank
2304 SHEPPARD AVE W,43.7349088,-79.5337912,Demolition,2006-05-23,2017-01-04,Demolish an existing single-storey commercial building with a basment.,Commericail
331 QUEEN ST W,43.64963046,-79.39191238,Demolition,2006-08-02,2017-02-13,Proposal to demolish 2 existing 3 storey mixed use buildings (331 & 333 Queen St W.)  Also See Demo for 333 Queen St W. 06 162885,Mixed Use (Retail & Res.)
48 WOODINGTON AVE,43.6854056,-79.3216232,Demolition,2006-08-09,2017-02-24,Demo existing Garage and maintain 1 Parking station 2.6M x 5.9M,Garage
522 ST CLAIR AVE W,43.68314465,-79.41913324,Demolition,2006-08-25,2017-01-23,Demolition of a three-storey building containing retail at grade and dwelling units at the second and third floor.  ,Retail
2956 DUNDAS ST W,43.66557457,-79.4680467,Demolition,2006-09-28,2017-07-19,Demolition of existing 2-storey commercial building,Commercial
2958 DUNDAS ST W,43.66557582,-79.46810932,Demolition,2006-09-28,2017-07-20,Demolition of existing 1-storey commercial building,Commercial
2960 DUNDAS ST W,43.66557708,-79.46817193,Demolition,2006-09-28,2017-07-20,Demolition of existing 1-storey commercial building,Commercial
31 R PARLIAMENT ST,43.648908,-79.361469,Demolition,2006-12-21,2017-01-18,Proposal to demolish existing 1 sty warehouse/work-shop building.,Warehouse/Workshop
335 QUEEN ST W,43.649402,-79.392048,Demolition,2007-01-05,2017-04-12,Proposal to demolish existing 3 sty with basement restaurant building.,Restaurant
494 RICHMOND ST E,43.6544191,-79.3651815,Demolition,2007-02-28,2017-01-20,Demolish 2-storey commercial building.,Commercial
506 RICHMOND ST E,43.6544803,-79.36491104,Demolition,2007-02-28,2017-01-20,Demolish 2-storey commercial building.,Commercial
508 RICHMOND ST E,43.6544905,-79.36486596,Demolition,2007-02-28,2017-01-20,Demolish 2-storey commercial building.,Commercial
510 RICHMOND ST E,43.6545007,-79.36482088,Demolition,2007-02-28,2017-01-20,Demolish 2-storey commercial building.,Commercial
512 RICHMOND ST E,43.6545109,-79.36477581,Demolition,2007-02-28,2017-01-20,Demolish existing 2-storey commercial building.,Commercial
4915 STEELES AVE W,43.7707396,-79.5436117,Demolition,2007-03-20,2017-05-25,demolish service station/canopy and carwash ( gas tanks have already been removed),Gas Station/Carwash
1145 OSSINGTON AVE,43.6724987,-79.42983616,Demolition,2007-06-19,2017-01-18,Proposal to demolish industrial building,Industrial
1053 THE QUEENSWAY,43.6223225,-79.5198265,Demolition,2007-06-29,2017-01-04,Demolition of existing vacant one-storey commercial building. ,Vacant Commercial Building
37 R HURON ST,43.651798,-79.3953965,Demolition,2007-08-28,2017-02-16,Proposal to demolish one storey parking garage.,Parking Garage
970 GERRARD ST E,43.6683311,-79.3402664,Demolition,2007-09-24,2017-01-16,demolish existing mcdonalds restaurant. Backfill old basement area  & pave,Restaurant More Than 30 Seats
73 RONCESVALLES AVE,43.641345,-79.4469301,Demolition,2007-10-17,2017-01-20,demolition of 5 garages,Mixed Comm+Res
1004 COLLEGE ST,43.65316908,-79.42907128,Demolition,2008-03-31,2017-12-20,Demo existing  1 of pair of Semi-detached converted houses ( #1004 and #1006 ) See Environmental assessment report/asbestos abatement. Same Owner. See seperate application for #1006.,Converted House
51 PRESTEIGN AVE,43.70702908,-79.32054075,Demolition,2008-08-11,2017-01-18,demolish  detached house (bungalow),Detached House
104 EASTERN AVE,43.6545167,-79.3568,Demolition,2008-08-13,2017-01-24,Demolish existing automobile service and repair shop (375m2).,Automobile Service And Repair Shop
345 FRONT ST E,43.65205,-79.360123,Demolition,2008-08-13,2017-01-16,Proposal to demolish existing 1-storey car maintenance garage (314m2).,Car Maintenance Garage
150 EASTERN AVE,43.65475931,-79.35567079,Demolition,2008-08-13,2017-01-24,Proposal to demolish existing 1-storey storage warehouse 314m2.,Warehouse
462 MERTON ST,43.69908673,-79.38254002,Demolition,2008-08-19,2017-01-17,Demo existing conc. block garage that straddles both #460 and #462. Newly severed lot. See C of A decision. ,Garage
460 MERTON ST,43.69907328,-79.38260422,Demolition,2008-08-19,2017-01-17,Demo existing conc. block garage that straddles both #460 and #462. Newly severed lot. See C of A decision. ,Garage
3933 KEELE ST,43.7633584,-79.4908213,Demolition,2008-09-18,2017-01-19,Petro Canada - One storey service station,Service Station
968 O'CONNOR DR,43.7083657,-79.3108359,Demolition,2008-11-04,2017-01-18,Permit to demolish existing vacant non residential building.,Commercial
637 GREENWOOD AVE,43.6813434,-79.3321259,Demolition,2008-11-28,2017-01-17,demolition permit to demolish existing mixed use building - 2 storey building and detached garage.,Mixed Residential Office
320 RICHMOND ST E,43.6520037,-79.377527,Demolition,2009-01-13,2017-01-20,Proposal for the demolition of the existing two storey building which is currently vacant and the demolition of the existing one storey sales office.  The proposed building is slated to be a highrise condominium.,"Commercial, Multi Use/Nonres/Vacant"
1219-1223 DANFORTH AVE,43.6520037,-79.377527,Demolition,2009-02-06,2017-01-11,Proposal to demo existing 2 sty Res w Non residential building.  New private parkette.,Mixed Use Non-Res (Retail)
2562 WESTON RD,43.7097733,-79.5348122,Demolition,2009-06-18,2017-06-13,"Proposed demolition of existing building, sign base, underground services and removal of underground tanks.",Gas Station
91 ST GEORGE ST,43.6645565,-79.39822655,Demolition,2009-07-31,2017-01-23,permit to demolish existing house form building used as offices for university - to be used in conjunction with 97 ST George.,Classroom
132 BERKELEY ST,43.6549152,-79.3657047,Demolition,2009-08-10,2017-03-01,permit to demolish existing 2 storey mixed use building.,Mixed Use Building
630 QUEEN ST E,43.65836766,-79.35267174,Demolition,2009-08-12,2017-01-18,Proposal to demo existing 1 sty retail building.,Retail
7 MORRISON ST,43.645682,-79.398715,Demolition,2009-08-14,2017-01-18,permit to demolish existing 3 storey industrial building ,Industrial
40 OAK ST,43.66139715,-79.36510359,Demolition,2009-08-27,2017-01-18,"Proposal to demo existing community hall (Christian resource centre)
Demo Area:454.3 m. sq.
(See permit 08-231743) ",Community Hall
103 CHARLES ST E,43.669812,-79.38017333,Demolition,2009-10-15,2017-02-16,"Demolition of this semi detached building. Refer to folder no. 08 177631 for more information on the proposed structure. Also, refer to demolition folder no. 09 179133 for other portion of the building demolition. ",Mixed Use
620 DUNDAS ST E,43.6606626,-79.3610027,Demolition,2009-11-06,2017-02-02,Permit to demolish existing 3 storey apartment building with 48 units - CONVENIENCE ADDRESS IS 251 SACKVILLE ST,Apartment Building
